,currency,impact,name,date,time
1048,CAD,High Impact Expected,Employment Change,2007-04-05,13:00:00
1049,CAD,High Impact Expected,Unemployment Rate,2007-04-05,13:00:00
1050,GBP,High Impact Expected,Official Bank Rate,2007-04-05,13:00:00
1052,CAD,High Impact Expected,Ivey PMI,2007-04-05,16:00:00
1054,NZD,Non-Economic,Bank Holiday,2007-04-05,23:59:59
1055,AUD,Non-Economic,Bank Holiday,2007-04-06,23:59:59
1058,CHF,Non-Economic,Bank Holiday,2007-04-06,23:59:59
1061,GBP,Non-Economic,Bank Holiday,2007-04-06,23:59:59
1062,CAD,Non-Economic,Bank Holiday,2007-04-06,23:59:59
1063,USD,High Impact Expected,Non-Farm Employment Change,2007-04-06,14:30:00
1064,USD,High Impact Expected,Unemployment Rate,2007-04-06,14:30:00
1068,NZD,Non-Economic,Bank Holiday,2007-04-08,23:59:59
1069,AUD,Non-Economic,Bank Holiday,2007-04-09,23:59:59
1071,CHF,Non-Economic,Bank Holiday,2007-04-09,23:59:59
1075,GBP,Non-Economic,Bank Holiday,2007-04-09,23:59:59
1077,NZD,High Impact Expected,NZIER Business Confidence,2007-04-10,00:00:00
1082,CNY,High Impact Expected,USD-Denominated Trade Balance,2007-04-10,07:00:00
1088,JPY,High Impact Expected,BOJ Press Conference,2007-04-10,08:57:00
1101,CAD,High Impact Expected,Housing Starts,2007-04-11,14:15:00
1104,USD,High Impact Expected,Fed Chairman Bernanke Speaks,2007-04-11,19:00:00
1105,USD,High Impact Expected,FOMC Meeting Minutes,2007-04-11,20:00:00
1110,AUD,High Impact Expected,Employment Change,2007-04-12,03:30:00
1116,GBP,High Impact Expected,Goods Trade Balance,2007-04-12,10:30:00
1122,EUR,High Impact Expected,ECB Press Conference,2007-04-12,14:30:00
1126,NZD,High Impact Expected,Core Retail Sales m/m,2007-04-13,00:45:00
1127,NZD,High Impact Expected,Retail Sales m/m,2007-04-13,00:45:00
1130,CAD,High Impact Expected,Trade Balance,2007-04-13,14:30:00
1131,USD,High Impact Expected,PPI m/m,2007-04-13,14:30:00
1132,USD,High Impact Expected,Trade Balance,2007-04-13,14:30:00
1134,USD,High Impact Expected,Prelim UoM Consumer Sentiment,2007-04-13,16:00:00
1136,All,High Impact Expected,G7 Meetings,2007-04-13,23:59:59
1142,GBP,High Impact Expected,PPI Input m/m,2007-04-16,10:30:00
1148,USD,High Impact Expected,Core Retail Sales m/m,2007-04-16,14:30:00
1149,USD,High Impact Expected,Retail Sales m/m,2007-04-16,14:30:00
1151,USD,High Impact Expected,TIC Long-Term Purchases,2007-04-16,15:00:00
1153,CAD,High Impact Expected,BOC Business Outlook Survey,2007-04-16,16:30:00
1160,GBP,High Impact Expected,CPI y/y,2007-04-17,10:30:00
1166,GBP,High Impact Expected,BOE Inflation Letter,2007-04-17,11:30:00
1168,USD,High Impact Expected,CPI y/y,2007-04-17,14:30:00
1169,USD,High Impact Expected,Core CPI m/m,2007-04-17,14:30:00
1177,NZD,High Impact Expected,CPI q/q,2007-04-18,00:45:00
